Date,Low,Open,Volume,High,Close,Adjusted Close
27-09-2005,19.10000038,21.04999924,961200,21.39999962,19.29999924,18.19491005
28-09-2005,19.20000076,null,5747900,20.53000069,20.5,19.32619858
29-09-2005,20.10000038,20.39999962,1078200,20.57999992,20.20999908,19.05280113
30-09-2005,20.18000031,20.26000023,3123300,21.04999924,21.01000023,19.80699921
3/10/2005,20.89999962,20.89999962,1057900,21.75,21.5,20.26893806
4/10/2005,21.44000053,null,1768800,22.5,22.15999985,20.89115143
5/10/2005,21.75,22.10000038,904300,22.30999947,22.20000076,20.92886162
6/10/2005,22.39999962,null,1614200,23,22.57999992,21.28709984
7/10/2005,21.79999924,22.25,753400,22.60000038,22.14999962,20.88172531
10/10/2005,22.10000038,22.28000069,538700,22.29000092,22.20999908,20.93829155
11/10/2005,21.79999924,null,764600,22.29999924,21.97999954,20.72145653
12/10/2005,21.63999939,null,912900,22.04999924,21.76000023,20.51405525
13-10-2005,21.39999962,21.70000076,531300,21.79999924,21.70999908,20.46691704
14-10-2005,21.85000038,21.85000038,887800,22.39999962,22.27000046,20.99484825
17-10-2005,21.85000038,null,464000,22.21999931,22.07999992,20.81572723
18-10-2005,21.35000038,22.05999947,1815500,22.29999924,21.48999977,20.25951195
19-10-2005,20.85000038,21.37000084,1466000,21.60000038,21.37999916,20.15581131
20-10-2005,20.85000038,null,640900,21.47999954,21.02000046,19.81642914
21-10-2005,21.01000023,21.02000046,917000,22.42000008,21.95999908,20.70260429
24-10-2005,21.95000076,22.01000023,508800,22.36000061,22.30999947,21.03256226
25-10-2005,21.70000076,22.25,437300,22.54000092,22,20.74031067
26-10-2005,21.98999977,22,543200,22.45000076,22.31999969,21.04198647
27-10-2005,22.20000076,22.26000023,351200,22.55999947,22.55999947,21.2682476
28-10-2005,22.37000084,22.54999924,1614900,23.89999962,23.89999962,22.53152466
31-10-2005,24,24,706400,25.35000038,24.68000031,23.26685905
1/11/2005,24.69000053,24.70000076,866800,25.07999992,25.02000046,23.58738899
2/11/2005,25.20000076,25.22999954,2870200,28.10000038,27.54999924,25.97252655
3/11/2005,27.60000038,27.60000038,906100,28.10000038,27.87000084,26.27420807
4/11/2005,27.77000046,27.79999924,912600,29,28.79999924,27.15095139
7/11/2005,28.37999916,29,486900,29.43000031,28.93000031,27.27351189
8/11/2005,29,29.10000038,1395000,29.70000076,29.43000031,27.74488258
9/11/2005,29.43000031,29.43000031,1312300,31.29999924,31.29999924,29.50780296
10/11/2005,31.14999962,31.14999962,1948900,33.95999908,32.79999924,30.92191696
11/11/2005,33,33.04999924,1183900,33.95000076,33.34999847,31.4404335
14-11-2005,33.45000076,33.5,1059200,34.5,33.75,31.81751823
15-11-2005,32.84000015,33.75,759200,33.88000107,33.88000107,31.94007111
16-11-2005,33.40000153,33.50999832,542600,33.84999847,33.59999847,31.67611122
17-11-2005,33.22999954,33.40000153,1011900,34.54999924,34.31999969,32.35489655
18-11-2005,32.86000061,34.34999847,529800,34.34999847,33.04999924,31.15759659
21-11-2005,31.26000023,32.75,636300,32.75,31.98999977,30.15830231
22-11-2005,31.60000038,31.98999977,421900,32.74000168,32.5,30.63909721
23-11-2005,32.15999985,32.20000076,671300,33.68000031,33.04000092,31.14818382
25-11-2005,32.72000122,33.00999832,138500,33.20000076,32.84999847,30.96905327
28-11-2005,33,33.04999924,630400,33.84999847,33.40999985,31.49699783
29-11-2005,32.63000107,33.29999924,428600,33.5,32.90000153,31.01619339
30-11-2005,32.90000153,32.90000153,690100,33.79999924,33.59000015,31.66668129
1/12/2005,34,34,371800,34.93999863,34.27999878,32.31716919
2/12/2005,34.25,34.40000153,428600,34.65000153,34.27999878,32.31716919
5/12/2005,31.37999916,32.08000183,1124400,32.63999939,32.34999847,30.49768448
6/12/2005,32.04000092,32.04000092,790600,33.75,33.61999893,31.69496536
7/12/2005,33.29999924,33.40000153,783900,34.18000031,33.95000076,32.00608444
8/12/2005,33.52999878,33.95000076,383700,33.97999954,33.65999985,31.73267174
9/12/2005,33.34999847,33.40999985,409700,34.06999969,33.88000107,31.94007111
12/12/2005,33.70999908,33.79999924,421500,33.90999985,33.75999832,31.82694626
13-12-2005,33.04999924,33.75999832,226700,33.79999924,33.25,31.34614944
14-12-2005,33.25,33.40000153,158400,33.68999863,33.54000092,31.61955833
15-12-2005,33.34999847,33.63999939,313900,33.88000107,33.63000107,31.70439339
16-12-2005,33.68000031,33.68000031,1646900,35.5,35.15000153,33.13736343
19-12-2005,34.88999939,35.18000031,377400,35.45000076,35.25,33.23163986
20-12-2005,34.02000046,35.25,564500,35.45999908,35.31999969,33.2976265
21-12-2005,35.33000183,35.38000107,701200,37,36.50999832,34.41949081
22-12-2005,36.34999847,36.59999847,247800,37.04999924,36.83000183,34.72117615
23-12-2005,36.72999954,36.72999954,493000,38,37.72999954,35.5696373
27-12-2005,37.20000076,37.99000168,476400,38.79999924,37.45999908,35.31509018
28-12-2005,36.34999847,38,327800,38.15000153,37.45000076,35.30567169
29-12-2005,37.18999863,37.45000076,189800,37.95000076,37.38000107,35.23967743
30-12-2005,36.91999817,37.54999924,172800,37.58000183,37.13999939,35.0134201
3/1/2006,36.84999847,37.20000076,1013200,38.27999878,37.45000076,35.30567169
4/1/2006,37.70000076,37.70000076,1928400,40.59999847,39.20000076,36.95545959
5/1/2006,38.90999985,39.18000031,317900,39.70999908,39.70999908,37.43626404
6/1/2006,38.13999939,39.70999908,349200,39.70999908,39,36.76691055
9/1/2006,38.5,38.79999924,220800,38.88000107,38.61000061,36.39924622
10/1/2006,37.40000153,38.61000061,191300,38.70999908,37.79999924,35.63562393
11/1/2006,34.65000153,37.79999924,974300,37.79999924,34.79999924,32.80741119
12/1/2006,32.95999908,33,2008900,35.34999847,34.99000168,32.98653412
